scenario_id,policy_a,policy_b,repeats
dying_battery_vs_fragile_cargo,always_yield,always_yield,1
dying_battery_vs_fragile_cargo,always_yield,never_yield,1
dying_battery_vs_fragile_cargo,always_yield,stubborn,1
dying_battery_vs_fragile_cargo,never_yield,always_yield,1
dying_battery_vs_fragile_cargo,never_yield,never_yield,1
dying_battery_vs_fragile_cargo,never_yield,stubborn,1
dying_battery_vs_fragile_cargo,stubborn,always_yield,1
dying_battery_vs_fragile_cargo,stubborn,never_yield,1
dying_battery_vs_fragile_cargo,stubborn,stubborn,1
routine_vs_medical,always_yield,always_yield,1
routine_vs_medical,always_yield,never_yield,1
routine_vs_medical,always_yield,stubborn,1
routine_vs_medical,never_yield,always_yield,1
routine_vs_medical,never_yield,never_yield,1
routine_vs_medical,never_yield,stubborn,1
routine_vs_medical,stubborn,always_yield,1
routine_vs_medical,stubborn,never_yield,1
routine_vs_medical,stubborn,stubborn,1
both_urgent,always_yield,always_yield,1
both_urgent,always_yield,never_yield,1
both_urgent,always_yield,stubborn,1
both_urgent,never_yield,always_yield,1
both_urgent,never_yield,never_yield,1
both_urgent,never_yield,stubborn,1
both_urgent,stubborn,always_yield,1
both_urgent,stubborn,never_yield,1
both_urgent,stubborn,stubborn,1
both_trivial,always_yield,always_yield,1
both_trivial,always_yield,never_yield,1
both_trivial,always_yield,stubborn,1
both_trivial,never_yield,always_yield,1
both_trivial,never_yield,never_yield,1
both_trivial,never_yield,stubborn,1
both_trivial,stubborn,always_yield,1
both_trivial,stubborn,never_yield,1
both_trivial,stubborn,stubborn,1
quiet_emergency,always_yield,always_yield,1
quiet_emergency,always_yield,never_yield,1
quiet_emergency,always_yield,stubborn,1
quiet_emergency,never_yield,always_yield,1
quiet_emergency,never_yield,never_yield,1
quiet_emergency,never_yield,stubborn,1
quiet_emergency,stubborn,always_yield,1
quiet_emergency,stubborn,never_yield,1
quiet_emergency,stubborn,stubborn,1
dying_battery_vs_fragile_cargo,always_yield,llm,3
dying_battery_vs_fragile_cargo,never_yield,llm,3
dying_battery_vs_fragile_cargo,stubborn,llm,3
dying_battery_vs_fragile_cargo,llm,always_yield,3
dying_battery_vs_fragile_cargo,llm,never_yield,3
dying_battery_vs_fragile_cargo,llm,stubborn,3
dying_battery_vs_fragile_cargo,llm,llm,3
routine_vs_medical,always_yield,llm,3
routine_vs_medical,never_yield,llm,3
routine_vs_medical,stubborn,llm,3
routine_vs_medical,llm,always_yield,3
routine_vs_medical,llm,never_yield,3
routine_vs_medical,llm,stubborn,3
routine_vs_medical,llm,llm,3
both_urgent,always_yield,llm,3
both_urgent,never_yield,llm,3
both_urgent,stubborn,llm,3
both_urgent,llm,always_yield,3
both_urgent,llm,never_yield,3
both_urgent,llm,stubborn,3
both_urgent,llm,llm,3
both_trivial,always_yield,llm,3
both_trivial,never_yield,llm,3
both_trivial,stubborn,llm,3
both_trivial,llm,always_yield,3
both_trivial,llm,never_yield,3
both_trivial,llm,stubborn,3
both_trivial,llm,llm,3
quiet_emergency,always_yield,llm,3
quiet_emergency,never_yield,llm,3
quiet_emergency,stubborn,llm,3
quiet_emergency,llm,always_yield,3
quiet_emergency,llm,never_yield,3
quiet_emergency,llm,stubborn,3
quiet_emergency,llm,llm,3
